model,loss_metric,loss_L,loss,loss_U
xgb_C_epochEP_s_1_weightByEpoch,rmse_EPHat_ValueY,3.9760990366661395,3.9840004918307046,3.9919019469952697
xgb_C_epochEP_oq2xdq2x_1_weightByEpoch,rmse_EPHat_ValueY,3.9874010644812863,3.9951372806162473,4.002873496751208
xgb_C_epochEP_s_1,rmse_EPHat_ValueY,4.008101850200319,4.015096527365822,4.022091204531325
xgb_C_epochEP_oq2xdq2x_1,rmse_EPHat_ValueY,4.025300150045306,4.032053976046872,4.038807802048439
xgb_C_epochEP_nflFastR_1,rmse_EPHat_ValueY,4.0424394954848815,4.049158841795439,4.055878188105996
xgb_C_epochEP_oq2xdq2x_1_weightByEpoch,logloss_PHat_Y,1.10600912322843,1.1080404963628925,1.110071869497355
xgb_C_epochEP_s_1_weightByEpoch,logloss_PHat_Y,1.1068681236406253,1.1089500728254382,1.1110320220102512
xgb_C_epochEP_s_1,logloss_PHat_Y,1.161008286253707,1.1626469505135157,1.1642856147733245
xgb_C_epochEP_oq2xdq2x_1,logloss_PHat_Y,1.166190216935306,1.1677815409997576,1.1693728650642092
xgb_C_epochEP_nflFastR_1,logloss_PHat_Y,1.1872361015779065,1.1888629759307658,1.1904898502836252
xgb_C_epochEP_oq2xdq2x_1_weightByEpoch,rmse_ValueYHat_ValueY,6.539999970344207,6.791990281819119,7.043980593294032
xgb_C_epochEP_oq2xdq2x_1,rmse_ValueYHat_ValueY,6.59480617244336,6.834979579739046,7.075152987034731
xgb_C_epochEP_s_1_weightByEpoch,rmse_ValueYHat_ValueY,6.685302217070386,6.957665798655928,7.2300293802414695
xgb_C_epochEP_s_1,rmse_ValueYHat_ValueY,6.755775148424793,7.016526131967042,7.27727711550929
xgb_C_epochEP_nflFastR_1,rmse_ValueYHat_ValueY,6.896981985618052,7.1400961833051415,7.383210380992231
xgb_C_epochEP_oq2xdq2x_1,fractionSame_YHat_Y,0.18810306679223116,0.19928248212461697,0.21046189745700278
xgb_C_epochEP_s_1,fractionSame_YHat_Y,0.19016858152222182,0.20228609805924413,0.21440361459626645
xgb_C_epochEP_nflFastR_1,fractionSame_YHat_Y,0.193429202363164,0.20537228804902963,0.21731537373489526
xgb_C_epochEP_oq2xdq2x_1_weightByEpoch,fractionSame_YHat_Y,0.20056030054344903,0.21220688457609807,0.2238534686087471
xgb_C_epochEP_s_1_weightByEpoch,fractionSame_YHat_Y,0.2011251605204444,0.21383634320735445,0.2265475258942645
